X_pred,Y_pred,X_true,Y_true,Error_X,Error_Y,Error_Euclidean,InferenceTime_ms,k
9600.0,2400.0,10800,1200,1.2,1.2,1.697056274847714,10.14446300007421,1
16800.0,0.0,15600,1200,1.2,1.2,1.697056274847714,4.671335000011823,1
0.0,2400.0,2400,1200,2.4,1.2,2.6832815729997477,4.936874000009084,1
9600.0,0.0,7200,1200,2.4,1.2,2.6832815729997477,6.224698999972134,1
9650.0,6080.0,12000,3600,2.35,2.48,3.4165626000411584,7.076686999994308,1
16800.0,0.0,20400,3600,3.6,3.6,5.091168824543142,6.48869500003002,1
14400.0,0.0,22800,3600,8.4,3.6,9.138927727036691,6.717088999948828,1
24000.0,0.0,25200,3600,1.2,3.6,3.794733192202055,7.734991999996055,1
9600.0,2400.0,7200,3600,2.4,1.2,2.6832815729997477,6.041460999995252,1
9576.068827779522,2437.4751973495163,10800,1200,1.2239311722204784,1.2374751973495164,1.7405034841643434,4.711302999908185,2
17598.57250937646,798.5725093764592,15600,1200,1.9985725093764595,0.40142749062354083,2.0384886817109464,4.363184999988334,2
0.0,2347.9240911214893,2400,1200,2.4,1.1479240911214892,2.660400292996732,4.477467000015167,2
9142.190387225595,228.90480638720183,7200,1200,1.9421903872255952,0.9710951936127982,2.1714348655415354,4.811386000028506,2
10479.530924907709,6080.0,12000,3600,1.520469075092291,2.48,2.908990582369081,4.465653000011116,2
17600.388719176408,671.2225396679368,20400,3600,2.799611280823592,2.9287774603320633,4.051612115672457,5.09011599990572,2
16363.254705108224,981.6273525541112,22800,3600,6.436745294891776,2.618372647445889,6.948925478964658,6.60564500003602,2
24807.390451980515,807.3904519805159,25200,3600,0.3926095480194854,2.792609548019484,2.8200727552468665,5.258795000031569,2
9716.05219789686,2383.4211145861623,7200,3600,2.516052197896861,1.2165788854138377,2.7947420000737813,4.880336999917745,2
9596.133368622715,2427.336822877439,10800,1200,1.2038666313772846,1.2273368228774388,1.7192005534359789,7.379065000009177,3
16950.111944915014,636.6744193142141,15600,1200,1.3501119449150136,0.5633255806857859,1.4629210414978584,7.5801369999908275,3
6.278208463225885,2347.992204332292,2400,1200,2.393721791536774,1.147992204332292,2.6547674317133203,8.05033699998603,3
9149.373979867169,262.97194482599167,7200,1200,1.9493739798671685,0.9370280551740083,2.16288707277249,8.730657000000974,3
10556.134736519176,6050.74513493284,12000,3600,1.443865263480824,2.4507451349328404,2.844450494468753,9.203305000028195,3
17685.18571598798,762.8667650801384,20400,3600,2.7148142840120197,2.8371332349198615,3.9267724137467575,8.024533000025258,3
15948.663585419608,1116.3993848518937,22800,3600,6.851336414580391,2.4836006151481063,7.287597867700944,7.048880000070312,3
24677.599941284567,1063.407359376005,25200,3600,0.5224000587154333,2.536592640623995,2.5898270300955812,9.013170000002901,3
9716.052132390698,2383.424780606575,7200,3600,2.5160521323906977,1.216575219393425,2.7947403452467525,8.643955000025016,3
9596.921000289674,2427.2230486259523,10800,1200,1.2030789997103257,1.2272230486259523,1.7185678603484864,9.474951000015608,4
17085.357629800626,687.962143451007,15600,1200,1.4853576298006264,0.512037856548993,1.571136548790786,9.138602999996692,4
12.152465352506525,2346.074878394207,2400,1200,2.387847534647493,1.1460748783942072,2.648641817159959,9.27295300004971,4
9147.353793718898,262.69942026897576,7200,1200,1.9473537937188976,0.9373005797310243,2.1611846692671817,8.416014999966137,4
10526.318017101883,6037.398954803551,12000,3600,1.473681982898117,2.437398954803551,2.8482718008638095,9.246079999911672,4
17520.743794235495,724.6810161648282,20400,3600,2.8792562057645044,2.875318983835172,4.069100091818378,9.103198000047996,4
16157.474954748128,1163.827175812717,22800,3600,6.6425250452518725,2.436172824187283,7.075173284528587,9.018597000022055,4
24815.9737403562,1455.0598977882587,25200,3600,0.3840262596438006,2.1449401022117414,2.1790466287282895,7.337991999975202,4
9716.045043988728,2383.424796666031,7200,3600,2.5160450439887283,1.216575203333969,2.7947339567027356,8.302769000010812,4
9596.921793905958,2427.2776635073237,10800,1200,1.203078206094042,1.2272776635073237,1.7186063055052643,5.293402999996033,5
17214.990246920748,788.3239340213424,15600,1200,1.6149902469207482,0.4116760659786576,1.6666345373082856,5.467663000104039,5
13.526921412188598,2346.1059179430413,2400,1200,2.3864730785878114,1.1461059179430413,2.6474161988566225,7.162693999930525,5
9143.786372014387,263.82944141656856,7200,1200,1.9437863720143869,0.9361705585834315,2.157480191053273,4.724947999989126,5
10511.828009441626,6037.507703021915,12000,3600,1.4881719905583741,2.4375077030219154,2.855888596527121,4.352398000037283,5
17595.75927131791,744.077509966974,20400,3600,2.804240728682089,2.855922490033026,4.002506631284437,4.924762000086957,5
16173.777136060013,1134.298487746778,22800,3600,6.626222863939987,2.465701512253222,7.070114100219945,4.819258999987142,5
