X_true,Y_true,X_fuse_mean,Y_fuse_mean,X_fuse_weighted,Y_fuse_weighted,Error_Euclid_mean_m,Error_Euclid_weighted_m,X_pred_RF,Y_pred_RF,Error_Euclid_RF_m,Latency_RF_ms,X_true_m,Y_true_m,X_fuse_mean_m,Y_fuse_mean_m,X_fuse_weighted_m,Y_fuse_weighted_m
10800,1200,10595.75,3852.5371428571425,10595.75,3852.5371428571425,2.6603893242788232,2.6603893242788232,10595.75,3852.5371428571425,2.6603893242788232,36.31162643432617,10.8,1.2,10.59575,3.8525371428571424,10.59575,3.8525371428571424
15600,1200,19091.0,1740.2438095238097,19091.0,1740.2438095238097,3.5325549356986365,3.5325549356986365,19091.0,1740.2438095238097,3.5325549356986365,11.063575744628906,15.6,1.2,19.091,1.7402438095238097,19.091,1.7402438095238097
2400,1200,2134.75,1357.1352380952378,2134.75,1357.1352380952378,0.30830025227243507,0.30830025227243507,2134.75,1357.1352380952378,0.30830025227243507,0.0,2.4,1.2,2.13475,1.3571352380952377,2.13475,1.3571352380952377
7200,1200,5786.0,1603.7714285714285,5786.0,1603.7714285714285,1.4705194206574124,1.4705194206574124,5786.0,1603.7714285714285,1.4705194206574124,15.671014785766602,7.2,1.2,5.786,1.6037714285714284,5.786,1.6037714285714284
12000,3600,8510.25,3704.4000000000005,8510.25,3704.4000000000005,3.4913112755095326,3.4913112755095326,8510.25,3704.4000000000005,3.4913112755095326,15.580415725708008,12.0,3.6,8.51025,3.7044000000000006,8.51025,3.7044000000000006
20400,3600,20961.75,3386.9104761904764,20961.75,3386.9104761904764,0.6008079623784703,0.6008079623784703,20961.75,3386.9104761904764,0.6008079623784703,0.0,20.4,3.6,20.96175,3.3869104761904762,20.96175,3.3869104761904762
22800,3600,15676.25,3620.7161904761906,15676.25,3620.7161904761906,7.123780121750519,7.123780121750519,15676.25,3620.7161904761906,7.123780121750519,15.669107437133789,22.8,3.6,15.67625,3.6207161904761906,15.67625,3.6207161904761906
25200,3600,24055.25,2822.0190476190473,24055.25,2822.0190476190473,1.3840906490427476,1.3840906490427476,24055.25,2822.0190476190473,1.3840906490427476,15.614748001098633,25.2,3.6,24.05525,2.8220190476190474,24.05525,2.8220190476190474
7200,3600,7598.5,3672.2133333333327,7598.5,3672.2133333333327,0.4049901424863462,0.4049901424863462,7598.5,3672.2133333333327,0.4049901424863462,15.622615814208984,7.2,3.6,7.5985,3.6722133333333327,7.5985,3.6722133333333327
