Point,true_X_mm,true_Y_mm,pred_X_mm,pred_Y_mm,latency_ms,error_mm,error_m
b10,10800,1200,9271.5680599673,1932.1776107673186,1.8480000435374677,1694.753152828182,1.694753152828182
b14,15600,1200,19670.381884573333,1715.5570209249977,1.3851000112481415,4102.902354198527,4.102902354198527
b3,2400,1200,2846.0631744622915,620.1464821421432,1.420699991285801,731.5753261172143,0.7315753261172143
b7,7200,1200,6151.0820975356955,1099.322483361586,1.1309999972581863,1053.7384535389199,1.0537384535389198
d11,12000,3600,10285.013014191176,4921.51919892033,0.90970000019297,2165.0850686771337,2.1650850686771337
d18,20400,3600,21137.25155781553,3387.318061381362,0.8805000106804073,767.3157541169127,0.7673157541169127
d20,22800,3600,18748.22416869391,1575.5577738878412,0.9127999655902386,4529.376746752484,4.529376746752484
d22,25200,3600,25323.286761842275,2097.0289655281786,0.9272999595850706,1508.0190834690557,1.5080190834690557
d7,7200,3600,6983.6408628612835,440.91133303083734,0.8687999797984958,3166.4889834004493,3.1664889834004493
