k,dispersion,geometry,is_core,model,Mean_Error_m,Median_Error_m,Std_Error_m,Min_Error_m,Max_Error_m,Q25_Error_m,Q75_Error_m,ap_indices_str,ap_names_str
2,22.135943621178654,dispersed,True,KWNN,3.0295453406901456,1.8183705350201091,2.7497999753497124,0.2971614072822731,8.67952418416315,0.6741075745556397,4.893443876946594,"(1, 5)","('ap1', 'ap5')"
2,22.135943621178654,dispersed,True,RF,3.358477012492311,3.032823430402766,2.1504153190345585,1.229388465864228,8.695634297738149,1.7367044192953505,3.9093225103590523,"(1, 5)","('ap1', 'ap5')"
2,22.135943621178654,dispersed,True,Transformer,3.4187809882791074,3.3407634803003634,2.674658454405765,0.580455742025701,9.292518906420758,1.038541900441713,4.405817590739126,"(1, 5)","('ap1', 'ap5')"
2,2.0,clustered,True,KWNN,5.633222878017111,3.7950471545391884,3.4657162218913813,1.8680882615270915,11.152137202251762,2.748558970667426,8.28789480424492,"(3, 4)","('ap3', 'ap4')"
2,2.0,clustered,True,RF,5.131136115192236,5.0466658706516325,3.4316672591278325,1.104770908378746,11.060380500235967,1.7887045144461395,8.628227767624125,"(3, 4)","('ap3', 'ap4')"
2,2.0,clustered,True,Transformer,4.191042595027107,2.6397951005832816,2.2267316099035983,1.530051462399769,7.58108210306578,2.298145300343164,6.3598917860296,"(3, 4)","('ap3', 'ap4')"
3,15.052660911863413,dispersed,True,KWNN,2.861475878794255,1.9272142500116995,1.8836320288587198,0.6899017404539886,6.5483998998961175,1.1773993877459858,3.8734430542470424,"(1, 2, 5)","('ap1', 'ap2', 'ap5')"
3,15.052660911863413,dispersed,True,RF,2.9389615761194197,2.579663737776689,2.2157870725230615,0.7596690068707556,8.470666236489311,1.409445369640129,3.6329990696392973,"(1, 2, 5)","('ap1', 'ap2', 'ap5')"
3,15.052660911863413,dispersed,True,Transformer,3.1972496743841283,2.2558862237351813,2.2662661850714594,0.7715027446188109,8.109267465905097,1.4434377439914128,4.733377293703707,"(1, 2, 5)","('ap1', 'ap2', 'ap5')"
3,11.54399779282835,median,True,KWNN,3.5271288977444524,2.3122046146725097,2.8306165638733303,0.5368524465482862,9.248938245961906,2.1532810365265287,3.7035896952486285,"(1, 3, 6)","('ap1', 'ap3', 'ap6')"
3,11.54399779282835,median,True,RF,2.7487574739675242,1.827891750077121,2.270144319537835,0.40407920015759285,7.8034266550022755,1.1091765594349714,3.3823977530739935,"(1, 3, 6)","('ap1', 'ap3', 'ap6')"
3,11.54399779282835,median,True,Transformer,2.7610376397018648,1.7643943977583048,2.0563223637566153,0.8346868937854746,8.094465878926156,1.5941072806954215,3.263427628976712,"(1, 3, 6)","('ap1', 'ap3', 'ap6')"
3,4.128388269044835,clustered,True,KWNN,2.3329033758145674,1.759367528808139,2.1950260246116513,0.44685160167008703,7.723016801247709,0.741128478738849,2.634308079070098,"(3, 4, 6)","('ap3', 'ap4', 'ap6')"
3,4.128388269044835,clustered,True,RF,2.274407621686345,1.6786518400192458,1.3637626253101538,0.8408666005972647,4.6509080231713895,1.1374673797520525,2.930951942628879,"(3, 4, 6)","('ap3', 'ap4', 'ap6')"
3,4.128388269044835,clustered,True,Transformer,3.43446186164156,3.7454374126509205,1.6205812761941532,0.7326436160747896,6.07279668670775,2.221280233453551,4.443865876759968,"(3, 4, 6)","('ap3', 'ap4', 'ap6')"
4,13.846252247785783,dispersed,True,KWNN,2.339231879703721,1.9086108850396808,1.8232760401608747,0.09442647160236307,6.625363869991738,1.1044882174317718,2.7112794020647586,"(1, 2, 5, 6)","('ap1', 'ap2', 'ap5', 'ap6')"
4,13.846252247785783,dispersed,True,RF,2.545636538728327,1.9607867018112908,2.0800328684427973,0.789085806487482,7.799095437292712,1.0121679702499975,3.1341359654616134,"(1, 2, 5, 6)","('ap1', 'ap2', 'ap5', 'ap6')"
4,13.846252247785783,dispersed,True,Transformer,3.66164967809373,3.3048091663212116,1.8820019847687421,0.830728162363943,6.714561130169626,2.9751538195067893,4.589132275555561,"(1, 2, 5, 6)","('ap1', 'ap2', 'ap5', 'ap6')"
4,10.820366648372682,median,True,KWNN,2.4576520197913485,2.2974671549431336,1.30182803335132,0.5458059346497834,5.729912749725907,2.0032061088444824,2.5265316111893927,"(2, 3, 5, 6)","('ap2', 'ap3', 'ap5', 'ap6')"
4,10.820366648372682,median,True,RF,1.6320170053005911,1.4453249634597751,0.8541615420781049,0.4814150911635405,3.0785034822133954,1.0573485518030463,1.812665231089293,"(2, 3, 5, 6)","('ap2', 'ap3', 'ap5', 'ap6')"
4,10.820366648372682,median,True,Transformer,3.246639631827503,2.8106178313008408,1.2231236639601262,1.5011245577147432,4.977431539804998,2.3378110258748457,4.658194731153911,"(2, 3, 5, 6)","('ap2', 'ap3', 'ap5', 'ap6')"
4,6.451255114135826,clustered,True,KWNN,2.9545673517561517,2.547721400838439,2.230252727411617,0.3807842849162359,8.132506303516037,1.204151407943942,3.6039214687791428,"(3, 4, 5, 6)","('ap3', 'ap4', 'ap5', 'ap6')"
4,6.451255114135826,clustered,True,RF,3.366733333087655,3.389515317858882,1.806835809575783,0.4965674274456593,6.647600036855406,2.6288845086842443,4.248614061079213,"(3, 4, 5, 6)","('ap3', 'ap4', 'ap5', 'ap6')"
4,6.451255114135826,clustered,True,Transformer,3.1472898362063972,3.416662636413626,0.8876064256887889,1.4791185596203986,4.6977639850442,2.869678076084326,3.575459183503617,"(3, 4, 5, 6)","('ap3', 'ap4', 'ap5', 'ap6')"
5,11.243244484660917,median,True,KWNN,2.7030227375082507,2.432310009783761,1.7395336921344897,0.9187202111848966,6.87402922635732,1.4690938858115632,3.363161197278724,"(1, 2, 3, 4, 5)","('ap1', 'ap2', 'ap3', 'ap4', 'ap5')"
5,11.243244484660917,median,True,RF,2.688979070173201,1.5529948486714307,2.3177454275301974,0.5276611128366387,8.37513380490127,1.2720277355466743,3.776100189348794,"(1, 2, 3, 4, 5)","('ap1', 'ap2', 'ap3', 'ap4', 'ap5')"
5,11.243244484660917,median,True,Transformer,3.0958487752034385,2.5051468310018543,2.116467673740461,0.5566254097008955,8.539913010904653,2.1886789829953486,3.2595700521114574,"(1, 2, 3, 4, 5)","('ap1', 'ap2', 'ap3', 'ap4', 'ap5')"
5,9.286234306706142,clustered,True,KWNN,2.3728660502753076,1.2568239631393359,2.21078334005291,0.39573400581407014,7.2303581380987545,0.7904625748113038,2.606402826541878,"(1, 2, 3, 4, 6)","('ap1', 'ap2', 'ap3', 'ap4', 'ap6')"
5,9.286234306706142,clustered,True,RF,2.540043364378644,1.46604241412041,2.1315598858760736,0.7327879979912335,7.91137004570005,1.3364359917332365,3.184432188004637,"(1, 2, 3, 4, 6)","('ap1', 'ap2', 'ap3', 'ap4', 'ap6')"
5,9.286234306706142,clustered,True,Transformer,3.215954183269936,2.712727499700535,1.5642585614562214,1.4031216402790065,6.916460807628845,2.552049400615117,3.6204389979113913,"(1, 2, 3, 4, 6)","('ap1', 'ap2', 'ap3', 'ap4', 'ap6')"
5,12.151896572621904,dispersed,True,KWNN,2.3409389507483724,1.8900061942908613,1.8799080176644642,0.37634441002362323,7.036502020028248,1.3620127284111176,2.6853150693961405,"(1, 2, 4, 5, 6)","('ap1', 'ap2', 'ap4', 'ap5', 'ap6')"
5,12.151896572621904,dispersed,True,RF,2.5007124278160706,1.2277427906528304,2.171750996067876,0.4495317118958351,7.653955427751066,1.038093329137607,3.286357959809004,"(1, 2, 4, 5, 6)","('ap1', 'ap2', 'ap4', 'ap5', 'ap6')"
5,12.151896572621904,dispersed,True,Transformer,2.239797406418651,1.778900548137759,1.6659599324534025,0.3785498187461514,6.4995562393377,1.2991844771470156,2.5081402911031394,"(1, 2, 4, 5, 6)","('ap1', 'ap2', 'ap4', 'ap5', 'ap6')"
6,10.71580936032454,full,True,KWNN,2.2926582064024936,2.093350018583516,1.5743233107892562,0.35787028205257454,5.5670940305044665,1.2026573539557297,2.6950423773805863,"(1, 2, 3, 4, 5, 6)","('ap1', 'ap2', 'ap3', 'ap4', 'ap5', 'ap6')"
6,10.71580936032454,full,True,RF,2.3848725570832574,1.933623026859165,2.170965259669852,0.10187855515269155,7.452355767809264,0.6478913797852228,3.0285072643135593,"(1, 2, 3, 4, 5, 6)","('ap1', 'ap2', 'ap3', 'ap4', 'ap5', 'ap6')"
6,10.71580936032454,full,True,Transformer,2.3939038295712582,2.086017970319545,1.2260631404628275,1.088388152400884,5.166102560804965,1.485048441791669,2.921898051243362,"(1, 2, 3, 4, 5, 6)","('ap1', 'ap2', 'ap3', 'ap4', 'ap5', 'ap6')"
