Method,Mean,Mean_CI_Lower,Mean_CI_Upper,Median,Median_CI_Lower,Median_CI_Upper
KWNN_euclidean_k5,2.607461559375145,1.5614811111715456,4.043724317641515,1.9214250267104371,1.3860571745248904,3.987972009771521
RandomForest_pooled,2.656225476137019,1.4476943656236123,4.286836005517477,1.9762006477076157,1.2306457654418674,4.504486763217314
